bone_name,custom_shape,custom_shape_scale
Little_T.L.001,CtrlPic.Cross,0.699999988079071
Ring_T.L.001,CtrlPic.Cross,0.699999988079071
Middle_T.L.001,CtrlPic.Cross,0.699999988079071
Index_T.L.001,CtrlPic.Cross,0.699999988079071
Thumb_T.L.002,CtrlPic.Cross,0.699999988079071
Thumb_T.L.003,CtrlPic.Cross,0.4000000059604645
Index_T.L,CtrlPic.Cross,1.0
Middle_T.L,CtrlPic.Cross,1.0
Little_T.L,CtrlPic.Cross,1.0
Ring_T.L,CtrlPic.Cross,1.0
Little_T.L.002,CtrlPic.Cross,0.4000000059604645
Ring_T.L.002,CtrlPic.Cross,0.4000000059604645
Middle_T.L.002,CtrlPic.Cross,0.4000000059604645
Index_T.L.002,CtrlPic.Cross,0.4000000059604645
Shoulder_T.L,CtrlPic.Cross,1.0
Shoulder_T.001.XZ.L,CtrlPic.Cross,1.0
Shoulder_T.001.Y.L,CtrlPic.Axis.Z,1.0
Arm_Size_T.L,CtrlPic.Size.001,1.0
Hand_P.L,CtrlPic.Arm_P.L.002,1.0
Hand_T.L,CtrlPic.Cross,1.0
Little_T.R.001,CtrlPic.Cross,0.699999988079071
Ring_T.R.001,CtrlPic.Cross,0.699999988079071
Middle_T.R.001,CtrlPic.Cross,0.699999988079071
Index_T.R.001,CtrlPic.Cross,0.699999988079071
Thumb_T.R.002,CtrlPic.Cross,0.699999988079071
Thumb_T.R.003,CtrlPic.Cross,0.4000000059604645
Index_T.R,CtrlPic.Cross,1.0
Middle_T.R,CtrlPic.Cross,1.0
Little_T.R,CtrlPic.Cross,1.0
Ring_T.R,CtrlPic.Cross,1.0
Little_T.R.002,CtrlPic.Cross,0.4000000059604645
Ring_T.R.002,CtrlPic.Cross,0.4000000059604645
Middle_T.R.002,CtrlPic.Cross,0.4000000059604645
Index_T.R.002,CtrlPic.Cross,0.4000000059604645
Shoulder_T.R,CtrlPic.Cross,1.0
Shoulder_T.001.Y.R,CtrlPic.Axis.Z,1.0
Shoulder_T.001.XZ.R,CtrlPic.Cross,1.0
Arm_Size_T.R,CtrlPic.Size.001,1.0
Arm_T.L,CtrlPic.Arm.L.002,1.0
Thumb_T.L.001,CtrlPic.Num_0010.L,1.0
Hand_P.R,CtrlPic.Arm_P.R.002,1.0
Hand_T.R,CtrlPic.Cross,1.0
Arm_T.R,CtrlPic.Arm.R.002,1.0
Thumb_T.R.001,CtrlPic.Num_0010.R,1.0
Elbo_T.L,CtrlPic.Cross,1.0
Elbo_T.R,CtrlPic.Cross,1.0
