bone_name,constraint_name,mute,target,subtarget_bone_name,from_min_x,from_max_x,from_min_y,from_max_y,from_min_z,from_max_z,map_to_x_from,map_to_y_from,map_to_z_from,map_to,to_min_x,to_max_x,to_min_y,to_max_y,to_min_z,to_max_z,target_space,owner_space
Hand.L,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.699999988079071,1.0,0.6000000238418579,1.0,0.699999988079071,LOCAL,LOCAL
Hand.L,Rig Ctrl,False,Loris.Armature,Hand_P.L,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,ROTATION,0.0,0.0,0.0,-0.7853981852531433,0.0,0.0,LOCAL,LOCAL
Hand.L,Rig Ctrl.001,False,Loris.Armature,Hand_T.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
Little_Root.L,Transformation,False,Loris.Armature,Little_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,0.0872664600610733,-0.0872664600610733,LOCAL,LOCAL
Little.L,Transformation,False,Loris.Armature,Little_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-1.5707963705062866,1.5707963705062866,0.0,0.0,1.5707963705062866,-1.5707963705062866,LOCAL,LOCAL
Little.L.001,Transformation,False,Loris.Armature,Little_T.L.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Middle_Root.L,Transformation,False,Loris.Armature,Middle_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,0.0872664600610733,-0.0872664600610733,LOCAL,LOCAL
Middle.L,Transformation,False,Loris.Armature,Middle_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-1.5707963705062866,1.5707963705062866,0.0,0.0,1.5707963705062866,-1.5707963705062866,LOCAL,LOCAL
Middle.L.001,Transformation,False,Loris.Armature,Middle_T.L.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Ring_Root.L,Transformation,False,Loris.Armature,Ring_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,0.0872664600610733,-0.0872664600610733,LOCAL,LOCAL
Ring.L,Transformation,False,Loris.Armature,Ring_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-1.5707963705062866,1.5707963705062866,0.0,0.0,1.5707963705062866,-1.5707963705062866,LOCAL,LOCAL
Ring.L.001,Transformation,False,Loris.Armature,Ring_T.L.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Index_Root.L,Transformation,False,Loris.Armature,Index_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-0.0872664600610733,0.0872664600610733,0.0,0.0,0.0872664600610733,-0.0872664600610733,LOCAL,LOCAL
Index.L,Transformation,False,Loris.Armature,Index_T.L,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,-1.5707963705062866,1.5707963705062866,0.0,0.0,1.5707963705062866,-1.5707963705062866,LOCAL,LOCAL
Index.L.001,Transformation,False,Loris.Armature,Index_T.L.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,-2.094395160675049,2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Thumb.L.002,Transformation,False,Loris.Armature,Thumb_T.L.002,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,Z,Y,X,ROTATION,0.0,0.0,0.0,0.0,2.094395160675049,-2.094395160675049,LOCAL,LOCAL
Thumb.L.003,Transformation,False,Loris.Armature,Thumb_T.L.003,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,Z,Y,X,ROTATION,0.0,0.0,0.0,0.0,2.094395160675049,-2.094395160675049,LOCAL,LOCAL
Hand.R,Transformation,False,Loris.Armature,Growth_T,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,X,X,X,SCALE,1.0,0.699999988079071,1.0,0.6000000238418579,1.0,0.699999988079071,LOCAL,LOCAL
Hand.R,Rig Ctrl,False,Loris.Armature,Hand_P.R,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,Y,Y,Y,ROTATION,0.0,0.0,0.0,0.7853981852531433,0.0,0.0,LOCAL,LOCAL
Hand.R,Rig Ctrl.001,False,Loris.Armature,Hand_T.R,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,0.7853981852531433,LOCAL,LOCAL
Little_Root.R,Transformation,False,Loris.Armature,Little_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,0.0872664600610733,-0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
Little.R,Transformation,False,Loris.Armature,Little_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,1.5707963705062866,-1.5707963705062866,0.0,0.0,-1.5707963705062866,1.5707963705062866,LOCAL,LOCAL
Little.R.001,Transformation,False,Loris.Armature,Little_T.R.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,2.094395160675049,-2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Middle_Root.R,Transformation,False,Loris.Armature,Middle_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,0.0872664600610733,-0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
Middle.R,Transformation,False,Loris.Armature,Middle_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,1.5707963705062866,-1.5707963705062866,0.0,0.0,-1.5707963705062866,1.5707963705062866,LOCAL,LOCAL
Middle.R.001,Transformation,False,Loris.Armature,Middle_T.R.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,2.094395160675049,-2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Ring_Root.R,Transformation,False,Loris.Armature,Ring_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,0.0872664600610733,-0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
Ring.R,Transformation,False,Loris.Armature,Ring_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,1.5707963705062866,-1.5707963705062866,0.0,0.0,-1.5707963705062866,1.5707963705062866,LOCAL,LOCAL
Ring.R.001,Transformation,False,Loris.Armature,Ring_T.R.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,2.094395160675049,-2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Thumb.R.002,Transformation,False,Loris.Armature,Thumb_T.R.002,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,Z,Y,X,ROTATION,0.0,0.0,0.0,0.0,2.094395160675049,-2.094395160675049,LOCAL,LOCAL
Thumb.R.003,Transformation,False,Loris.Armature,Thumb_T.R.003,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,Z,Y,X,ROTATION,0.0,0.0,0.0,0.0,2.094395160675049,-2.094395160675049,LOCAL,LOCAL
Index_Root.R,Transformation,False,Loris.Armature,Index_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,0.0872664600610733,-0.0872664600610733,0.0,0.0,-0.0872664600610733,0.0872664600610733,LOCAL,LOCAL
Index.R,Transformation,False,Loris.Armature,Index_T.R,-0.019999999552965164,0.019999999552965164,0.0,0.0,-0.019999999552965164,0.019999999552965164,X,Y,Z,ROTATION,1.5707963705062866,-1.5707963705062866,0.0,0.0,-1.5707963705062866,1.5707963705062866,LOCAL,LOCAL
Index.R.001,Transformation,False,Loris.Armature,Index_T.R.001,-0.05000000074505806,0.05000000074505806,0.0,0.0,0.0,0.0,X,Y,Z,ROTATION,2.094395160675049,-2.094395160675049,0.0,0.0,0.0,0.0,LOCAL,LOCAL
Shanks.L.005,Rig Ctrl,False,Loris.Armature,Foot_P.L,0.0,0.009999999776482582,0.0,0.009999999776482582,0.0,0.0,Y,Z,X,ROTATION,0.0,0.7853981852531433,0.0,0.0,0.0,-0.7853981852531433,LOCAL,LOCAL
