bone_name,constraint_name,mute,target,subtarget_bone_name,extrapolate,from_min_x,from_max_x,from_min_y,from_max_y,from_min_z,from_max_z,map_to_x_from,map_to_y_from,map_to_z_from,map_to,to_min_x,to_max_x,to_min_y,to_max_y,to_min_z,to_max_z,target_space,owner_space
2ndToe.L,Transformation,False,Loris.Armature,2ndToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
2ndToe.L.001,Transformation,False,Loris.Armature,2ndToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
2ndToe.L.002,Transformation,False,Loris.Armature,2ndToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
2ndToe.L.003,Transformation,False,Loris.Armature,2ndToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-0.0872664601,0.0872664601,0,0,-0.0872664601,0.0872664601,LOCAL,LOCAL
2ndToe.R,Transformation,False,Loris.Armature,2ndToe_T.R,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
2ndToe.R.001,Transformation,False,Loris.Armature,2ndToe_T.R,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
2ndToe.R.002,Transformation,False,Loris.Armature,2ndToe_T.R,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
2ndToe.R.003,Transformation,False,Loris.Armature,2ndToe_T.R,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-0.0872664601,0.0872664601,0,0,-0.0872664601,0.0872664601,LOCAL,LOCAL
3rdToe.L,Transformation,False,Loris.Armature,3rdToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
3rdToe.L.001,Transformation,False,Loris.Armature,3rdToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
3rdToe.L.002,Transformation,False,Loris.Armature,3rdToe_T.L,False,-0.0099999998,0.0099999998,0,0,-0.0099999998,0.0099999998,Z,Y,X,ROTATION,-2.0943951607,2.0943951607,0,0,-2.0943951607,2.0943951607,LOCAL,LOCAL
