bone_name,constraint_name,mute,target,subtarget_bone_name,extrapolate,from_min_x,from_max_x,from_min_y,from_max_y,from_min_z,from_max_z,map_to_x_from,map_to_y_from,map_to_z_from,map_to,to_min_x,to_max_x,to_min_y,to_max_y,to_min_z,to_max_z,target_space,owner_space
2ndToe.L.003,Transformation,False,Dorothy.Armature,2ndToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
2ndToe.L.002,Transformation,False,Dorothy.Armature,2ndToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
2ndToe.L.001,Transformation,False,Dorothy.Armature,2ndToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
2ndToe.L,Transformation,False,Dorothy.Armature,2ndToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
2ndToe.R.003,Transformation,False,Dorothy.Armature,2ndToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
2ndToe.R.002,Transformation,False,Dorothy.Armature,2ndToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
2ndToe.R.001,Transformation,False,Dorothy.Armature,2ndToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
2ndToe.R,Transformation,False,Dorothy.Armature,2ndToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
3rdToe.L,Transformation,False,Dorothy.Armature,3rdToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
3rdToe.L.001,Transformation,False,Dorothy.Armature,3rdToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
3rdToe.L.002,Transformation,False,Dorothy.Armature,3rdToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
3rdToe.L.003,Transformation,False,Dorothy.Armature,3rdToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
3rdToe.R,Transformation,False,Dorothy.Armature,3rdToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
3rdToe.R.001,Transformation,False,Dorothy.Armature,3rdToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
3rdToe.R.002,Transformation,False,Dorothy.Armature,3rdToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
3rdToe.R.003,Transformation,False,Dorothy.Armature,3rdToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
4thToe.L,Transformation,False,Dorothy.Armature,4thToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
4thToe.L.001,Transformation,False,Dorothy.Armature,4thToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
4thToe.L.002,Transformation,False,Dorothy.Armature,4thToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
4thToe.L.003,Transformation,False,Dorothy.Armature,4thToe_T.L,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
4thToe.R,Transformation,False,Dorothy.Armature,4thToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
4thToe.R.001,Transformation,False,Dorothy.Armature,4thToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
4thToe.R.002,Transformation,False,Dorothy.Armature,4thToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-2.0943951607,2.0943951607,0,0,2.0943951607,-2.0943951607,LOCAL,LOCAL
4thToe.R.003,Transformation,False,Dorothy.Armature,4thToe_T.R,True,-0.0049999999,0.0049999999,-0.0049999999,0.0049999999,0,0,X,Z,Y,ROTATION,-0.0872664601,0.0872664601,0,0,0.0872664601,-0.0872664601,LOCAL,LOCAL
UpperArm.L.003,Rig Ctrl,False,Dorothy.Armature,Arm_Size_T.L,True,0,0,0,0.0049999999,0,0,Y,Y,Y,SCALE,1,0.5,1,1,1,0.5,LOCAL,LOCAL
UpperArm.L.003,Rig Ctrl.001,False,Dorothy.Armature,Arm_Size_T.L,True,0,0,0,0.0049999999,0,0,Y,Y,Y,LOCATION,0,0,0,0.200000003,0,0,LOCAL,LOCAL
UpperArm.R.003,Rig Ctrl,False,Dorothy.Armature,Arm_Size_T.R,True,0,0,0,0.0049999999,0,0,Y,Y,Y,SCALE,1,0.5,1,1,1,0.5,LOCAL,LOCAL
UpperArm.R.003,Rig Ctrl.001,False,Dorothy.Armature,Arm_Size_T.R,True,0,0,0,0.0049999999,0,0,Y,Y,Y,LOCATION,0,0,0,0.200000003,0,0,LOCAL,LOCAL
BigToe.L.001,Rig Ctrl,False,Dorothy.Armature,BigToe_T.L,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,-0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
BigToe.L.002,Rig Ctrl,False,Dorothy.Armature,BigToe_T.L,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,-0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
BigToe.R.001,Rig Ctrl,False,Dorothy.Armature,BigToe_T.R,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,-0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
BigToe.R.002,Rig Ctrl,False,Dorothy.Armature,BigToe_T.R,True,0,0.0049999999,0,0.0049999999,0,0,Y,Z,X,ROTATION,0,-0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
Cheek.L,Rig Ctrl,False,Dorothy.Armature,Cheek_T.XZ.L,True,0,0.0049999999,0,0.0049999999,0,0,X,Z,Y,LOCATION,0,0.0099999998,0,0,0,0.0099999998,LOCAL,LOCAL
Cheek.R,Rig Ctrl,False,Dorothy.Armature,Cheek_T.XZ.R,True,0,0.0049999999,0,0.0049999999,0,0,X,Z,Y,LOCATION,0,0.0099999998,0,0,0,0.0099999998,LOCAL,LOCAL
Cheek.L,Rig Ctrl.001,False,Dorothy.Armature,Cheek_T.Y.L,True,0,0.0049999999,0,0,0,0.0049999999,X,Z,X,LOCATION,0,0,0,0.0099999998,0,0,LOCAL,LOCAL
Cheek.R,Rig Ctrl.001,False,Dorothy.Armature,Cheek_T.Y.R,True,0,0.0049999999,0,0,0,0.0049999999,X,Z,X,LOCATION,0,0,0,0.0099999998,0,0,LOCAL,LOCAL
UpperArm.L,Rig Ctrl,False,Dorothy.Armature,Elbo_T.L,True,0,0.002,0,0.002,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
UpperArm.R,Rig Ctrl,False,Dorothy.Armature,Elbo_T.R,True,0,0.002,0,0.002,0,0,Y,Z,X,ROTATION,0,0.7853981853,0,0,0,0.7853981853,LOCAL,LOCAL
Eye.L,Transformation,False,Dorothy.Armature,Eye_T.L,True,0,0.0049999999,0,0.0049999999,0,0,Y,Y,Y,SCALE,1,0.5,1,0.5,1,0.5,LOCAL,LOCAL
Eye.R,Transformation,False,Dorothy.Armature,Eye_T.R,True,0,0.0049999999,0,0.0049999999,0,0,Y,Y,Y,SCALE,1,0.5,1,0.5,1,0.5,LOCAL,LOCAL
Eyebow_Head_T.L,Rig Ctrl,False,Dorothy.Armature,Eyebow_Head_T.L.001,True,0,0,0,0.0049999999,0,0.0049999999,X,Z,Y,LOCATION,0,0,0,-0.0199999996,0,-0.0199999996,LOCAL,LOCAL
Eyebow_Head_T.R,Rig Ctrl,False,Dorothy.Armature,Eyebow_Head_T.R.001,True,0,0,0,0.0049999999,0,0.0049999999,X,Z,Y,LOCATION,0,0,0,-0.0199999996,0,-0.0199999996,LOCAL,LOCAL
Eyebow_Root_T.L,Rig Ctrl,False,Dorothy.Armature,Eyebow_Root_T.L.001,True,0,0,0,0.0049999999,0,0,X,X,Y,LOCATION,0,0,0,0,0,-0.0199999996,LOCAL,LOCAL
Eyebow_Root_T.R,Rig Ctrl,False,Dorothy.Armature,Eyebow_Root_T.R.001,True,0,0,0,0.0049999999,0,0,X,X,Y,LOCATION,0,0,0,0,0,-0.0199999996,LOCAL,LOCAL
Eyebow_Tail_T.L,Rig Ctrl,False,Dorothy.Armature,Eyebow_Tail_T.L.001,True,0,0,0,0.0049999999,0,0.0049999999,X,Z,Y,LOCATION,0,0,0,-0.0199999996,0,-0.0199999996,LOCAL,LOCAL
Eyebow_Tail_T.R,Rig Ctrl,False,Dorothy.Armature,Eyebow_Tail_T.R.001,True,0,0,0,0.0049999999,0,0.0049999999,X,Z,Y,LOCATION,0,0,0,-0.0199999996,0,-0.0199999996,LOCAL,LOCAL
Hair.Bk_T.004,Transformation,False,Dorothy.Armature,FollowThrough_D.Bk,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
Hair.Bk_T.L.003,Transformation,False,Dorothy.Armature,FollowThrough_D.Bk,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
Hair.Bk_T.R.003,Transformation,False,Dorothy.Armature,FollowThrough_D.Bk,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
Hair.Fr_T.R.003,Transformation,False,Dorothy.Armature,FollowThrough_D.Fr,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
Hair.Fr_T.L.003,Transformation,False,Dorothy.Armature,FollowThrough_D.Fr,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
Hair.Fr_T.003,Transformation,False,Dorothy.Armature,FollowThrough_D.Fr,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
Top_T.003,Transformation,False,Dorothy.Armature,FollowThrough_D.Fr,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
FollowThrough_D.Bk,Transformation.001,False,Dorothy.Armature,FollowThrough_D.Hair.Rotation_T,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,1,-1,1,-1,1,-1,LOCAL,LOCAL
FollowThrough_D.Fr,Transformation.001,False,Dorothy.Armature,FollowThrough_D.Hair.Rotation_T,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
FollowThrough_D.R,Transformation.001,False,Dorothy.Armature,FollowThrough_D.Hair.Rotation_T,False,-1,1,-1,1,-1,1,Y,X,Z,LOCATION,1,-1,1,-1,1,-1,LOCAL,LOCAL
FollowThrough_D.L,Transformation.001,False,Dorothy.Armature,FollowThrough_D.Hair.Rotation_T,False,-1,1,-1,1,-1,1,Y,X,Z,LOCATION,-1,1,-1,1,1,-1,LOCAL,LOCAL
Hair_Side_T.L.003,Transformation,False,Dorothy.Armature,FollowThrough_D.L,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
FollowThrough_D.Bk,Transformation,False,Dorothy.Armature,FollowThrough_D.Move_T,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
FollowThrough_D.Fr,Transformation,False,Dorothy.Armature,FollowThrough_D.Move_T,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
FollowThrough_D.R,Transformation,False,Dorothy.Armature,FollowThrough_D.Move_T,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
FollowThrough_D.L,Transformation,False,Dorothy.Armature,FollowThrough_D.Move_T,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
Hair_Side_T.R.003,Transformation,False,Dorothy.Armature,FollowThrough_D.R,False,-1,1,-1,1,-1,1,X,Y,Z,LOCATION,-1,1,-1,1,-1,1,LOCAL,LOCAL
